用户名,时间,内容,转发,评论,点赞,转发源作者,转发源
内蒙古团委,8-31 09:24,【#北京奥运会奖牌为何摔不坏# 设计者揭秘】近日，东京奥运会奖牌“掉皮”一事引发热议，也让不少网友回忆起2008年北京奥运会奖牌“金镶玉”。8月30日，中新社记者专访中国工艺美术大师、“金镶玉”奖牌设计制作者之一张铁成，回忆奖牌设计中的巧思。#东西问#（董泽宇）@中新视频 内蒙古团委的微博视频,23,23,23,,
上海体育发布,8-30 15:28,#东京奥运会#【主帅解密“国乒为什么强”】东京奥运会包揽乒乓球女单冠、亚军后，陈梦、孙颖莎说过这样一段话：会师决赛彰显的是中国乒乓球队的强大，而成绩的背后则体现的是伟大祖国的强大。冠冕堂皇吗？国乒将士们却是发自肺腑的。今天，让我们跟随国乒主帅一起解读国乒的“强队基因”。（来源：新华社 / 文：张寒、苏斌 / 图：新华社记者王东震、张金加、黄宗治、杨磊） 主帅解密“国乒为什么强”,9,9,31,,
寧晓言,8-30 22:25,#水谷隼继续职业生涯#32岁的水谷隼宣布将会继续职业生涯，因为眼疾水谷隼在东京奥运会结束宣布退役，才短短二十几天，又复出了，表示将要参加本赛季的日本乒乓球联赛，但目标不是巴黎奥运会，退役就像是闹着玩，水谷隼在乒乓球界也算得上一位经验老将了，在东京奥运会和伊藤美诚4-3击败中国队获得混双金牌，里约奥运会获得男子单打季军，他的复出并不意外，次前在宣布退役的时候，只是表示自己将退出国家队，这也是给自己留了后路！,12,12,24,,
内蒙古团委,8-31 09:12,"八月，东京奥运会闭幕。
这些东京奥运会上的感动瞬间你还记得吗？

#9张图记住这个八月# 内蒙古团委的微博视频",28,25,80,,
中新视频,8-30 22:16,【#北京奥运会金镶玉奖牌为何摔不坏# 设计者揭秘】#北京奥运会奖牌为何摔不坏# 近日，东京奥运会奖牌“掉皮”一事引发热议，也让不少网友回忆起2008年北京奥运会奖牌“金镶玉”。8月30日，中新社记者专访中国工艺美术大师、“金镶玉”奖牌设计制作者之一张铁成，回忆奖牌设计中的巧思。#东西问#（董泽宇） 中新视频的微博视频,7,4,67,,
奥林匹克运动会,8-27 08:00,"【周五愉快】2020年东京奥运会上，中国艺术体操队完美演绎了《敦煌飞天》🧚

@郭崎琪GQQ @RG婷婷 @黄张嘉洋-RG @RG-鑫僵僵 @许颜书

让我们一起来欣赏一下吧❤

#奥运会# | #共同强大# 奥林匹克运动会的微博视频",30,20,290,,
莪叫蓝姐,8-28 21:20,#东京奥运会# 羽毛球男双小组赛 李洋/王齐麟vs吉迪恩/苏卡穆约 超清全场 莪叫蓝妹的微博视频,40,16,86,,
奥林匹克运动会,8-29 12:00,"🏅️🤔意义非凡的金牌，如何庆祝才独特？

🏄🇧🇷来自东京奥运会男子冲浪冠军佩雷拉的“高难度”领奖时刻一定会让你眼前一亮🤩

🌊你有兴趣体验冲浪的魅力吗？

#奥运会# ｜#共同强大#",5,4,65,,
郑鹏飞皮划艇,8-25 19:43,今天终于收到了奥运证书相框，针不戳#围观奥运会##东京奥运会# 鄂州,4,54,638,,
莪叫蓝姐,8-28 20:15,#东京奥运会# 羽毛球男单小组赛 科登vs伍家朗 超清全场 莪叫蓝妹的微博视频,9,4,36,,
寧晓言,8-30 22:25,#水谷隼继续职业生涯#32岁的水谷隼宣布将会继续职业生涯，因为眼疾水谷隼在东京奥运会结束宣布退役，才短短二十几天，又复出了，表示将要参加本赛季的日本乒乓球联赛，但目标不是巴黎奥运会，退役就像是闹着玩，水谷隼在乒乓球界也算得上一位经验老将了，在东京奥运会和伊藤美诚4-3击败中国队获得混双金牌，里约奥运会获得男子单打季军，他的复出并不意外，次前在宣布退役的时候，只是表示自己将退出国家队，这也是给自己留了后路！,12,12,24,,
内蒙古团委,8-31 09:12,"八月，东京奥运会闭幕。
这些东京奥运会上的感动瞬间你还记得吗？

#9张图记住这个八月# 内蒙古团委的微博视频",28,25,80,,
中新视频,8-30 22:16,【#北京奥运会金镶玉奖牌为何摔不坏# 设计者揭秘】#北京奥运会奖牌为何摔不坏# 近日，东京奥运会奖牌“掉皮”一事引发热议，也让不少网友回忆起2008年北京奥运会奖牌“金镶玉”。8月30日，中新社记者专访中国工艺美术大师、“金镶玉”奖牌设计制作者之一张铁成，回忆奖牌设计中的巧思。#东西问#（董泽宇） 中新视频的微博视频,7,4,67,,
奥林匹克运动会,8-27 08:00,"【周五愉快】2020年东京奥运会上，中国艺术体操队完美演绎了《敦煌飞天》🧚

@郭崎琪GQQ @RG婷婷 @黄张嘉洋-RG @RG-鑫僵僵 @许颜书

让我们一起来欣赏一下吧❤

#奥运会# | #共同强大# 奥林匹克运动会的微博视频",30,20,290,,
莪叫蓝姐,8-28 21:20,#东京奥运会# 羽毛球男双小组赛 李洋/王齐麟vs吉迪恩/苏卡穆约 超清全场 莪叫蓝妹的微博视频,40,16,86,,
奥林匹克运动会,8-29 12:00,"🏅️🤔意义非凡的金牌，如何庆祝才独特？

🏄🇧🇷来自东京奥运会男子冲浪冠军佩雷拉的“高难度”领奖时刻一定会让你眼前一亮🤩

🌊你有兴趣体验冲浪的魅力吗？

#奥运会# ｜#共同强大#",5,4,65,,
郑鹏飞皮划艇,8-25 19:43,今天终于收到了奥运证书相框，针不戳#围观奥运会##东京奥运会# 鄂州,4,54,638,,
莪叫蓝姐,8-28 20:15,#东京奥运会# 羽毛球男单小组赛 科登vs伍家朗 超清全场 莪叫蓝妹的微博视频,9,4,36,,
第十四届全运会组委会,8-27 12:51,【马龙：厚积薄发铸传奇】2012年伦敦奥运会，和队友一起夺得乒乓球男团桂冠的马龙第一次有了奥运会冠军的头衔。4年后的里约奥运会，马龙收获了男单、男团两枚金牌，成为大满贯得主。而在33岁这年，马龙在东京奥运会上再次登顶男单、男团最高领奖台。荣膺奥运会“五金王”的马龙书写了属于他的传奇。他成为奥运会乒乓球男单首个成功卫冕、首个实现乒乓球男单“双满贯”的运动员，同时凭借25个世界冠军头衔成为手握国际乒坛最多世界冠军的运动员。展望未来，马龙说他还要继续热爱的乒乓球事业：“我还是想继续打，继续享受乒乓球的乐趣。如果有一天真的不打了，我还是会从事和乒乓球有关的事情，因为我的全部都是乒乓球赋予的。我希望能够影响和激励更多人，也能让更多人喜欢上乒乓球。”（中国体育报）#围观奥运会#第十四届全运会 马龙：厚积薄发铸传奇,7,12,90,,
央视新闻,8-26 12:30,马龙是教练和队友眼里训练最刻苦的人。他的勇气，来自国乒团结一心、勇往直前的精神；而他的底气，来自国乒科学训练、彼此成就的传统。“乒乓球”和“祖国”，早已深刻融入队员们的骨子里。“能在比赛上升国旗奏国歌，是一件特别幸福的事儿。”#马龙谈为什么国乒长盛不衰#,525,253,4119,@央视新闻:,【#马龙谈为什么国乒长盛不衰#】东京奥运会上，中国男乒实现团体四连冠，马龙卫冕男单冠军。@captain龙 说：“教练、队友都是世界冠军，会有无形的动力鞭策你，这样的团队力量是国乒长盛不衰的重要原因。”如今33岁的马龙仍在积极训练， “不问终点，全力以赴！”#刘国梁鼓励马龙用勇敢的心挑战全世界# 央视新闻的微博视频
上海体育发布,8-27 14:12,#东京奥运会#2020东京奥运会，中国代表团中共有46位上海奥运健儿，他们摘得5金4银2铜共计11枚奖牌，创历届奥运会参赛最好成绩。11枚奥运奖牌的背后，是上海逐步形成多元化的后备人才培养体系。今天，就和小体一起去看看赛场闪耀背后的故事吧：（来源：上观新闻）,5,9,43,,
中国新闻网,8-27 21:48,【骄傲！#东京赛场三面五星红旗同时升起#】#微观奥运会# 在27日下午进行的东京残奥会男子50米蝶泳S5级决赛中，中国队郑涛、王李超和袁伟译包揽金银铜牌，三人的成绩全部超过残奥会纪录，郑涛还打破了自己保持的世界纪录！看三面五星红旗同时升起！（人民日报）,145,107,2018,,
捷尔任斯基-,8-26 17:26,"看了一圈蓝鸟，在这届东京奥运会上……R3，强无敌。
今天又有国内从东京回来的摄影师信源，说R3表现比S社大力推广的当红旗舰要好。
有点期待R3的表现了，可我也不知到时候怎么测试。
让妹子表演后空翻吗？",10,34,41,,
河北长城网,8-29 10:30,【超高含金量！#河北体育的东京奥运成绩单#】以占中国体育代表团3%的参赛人数取得了15.8%的金牌占比、12.5%的奖牌占比——在东京奥运会上，河北奥运健儿在射击、女子铅球、乒乓球、游泳、跳水等项目上多点开花，一次次突破自我、打破纪录，成为强势突破的“河北现象”，交出了一份令世人瞩目、令燕赵儿女自豪的亮眼成绩单。（冀云客户端） 河北长城网的微博视频,19,18,184,,
地瓜熊老六,8-29 00:04,这真是春节贺岁款，整得像东京奥运会开幕式似的//@白鸠拂舞:谁能信这是春节拍的,55,96,885,@地瓜熊老六:,忽然想到一件事，赵薇代言的品牌，好像还没有出来宣布和赵薇解约……
一头扎进游泳池,8-29 07:16,"#游泳# #东京奥运会#

蛙泳腿常见错误，不走水的原因都在这个视频里！！！ 一头扎进游泳池的微博视频",20,0,15,,
上海体育发布,8-26 14:29,#上海体育#【来自上海！东京奥运水球裁判中唯一的中国身影】东京奥运会结束了，在中国军团刮起的金旋风中，6位上海健儿在5个项目中勇夺奥运冠军，创下了历届奥运会参赛最好成绩。更让人欣喜的是，在竞技体育高速前进的同时，上海在其他层面也一直倾尽全力，为实现中国体育强国梦默默助力着。东京奥运会水球赛场上，24名裁判中唯一一位中国籍裁判张亮就来自上海。（来源：劳动观察） 来自上海！东京奥运水球裁判中唯一的中国身影,13,9,36,,
举重李雯雯,8-25 11:35,,89,174,2463,@中国体育报:,【靠谱的“00后”——李雯雯：延续女举最大级别的中国骄傲】“00后”、大可爱、最强女力士、摆脱身材焦虑的大码女孩，在东京奥运会夺金后，贴在李雯雯身上的标签越来越多。实力出众、兼具人气，用体育的力量激励人心，做这个新时代的新偶像，为什么不呢？ 靠谱的“00后”——李雯雯：延续女举最大级别的中国骄傲
地瓜熊老六,8-29 10:44,重温一下，2019年Burberry发布的中国春节宣传海报，名叫：摩登新禧既有BBC的阴间滤镜，又有东京奥运会的阴间物哀文化，就是一点都没有中国春节的喜庆氛围。,112,324,2505,,
奥林匹克运动会,8-23 12:30,"【东京奥运会奖牌时刻】阿部诗/阿部一二三 🇯🇵

💪🥋兄妹连心，齐力夺金！阿部兄妹同日摘金的故事，为奥运会的历史再添经典佳话！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",13,11,116,,
奥林匹克运动会,8-24 18:00,"【东京奥运会开幕式精彩回顾】夜空中最亮的《Imagine》🌃

✨1800架无人机组成的地球形状，在传世经典《Imagine》的天籁声中，绘制着奥林匹克人的共同心愿！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",31,14,223,,
央视网体育,8-22 19:19,【重压之下勇夺四金 国乒捍卫国球荣耀】#围观奥运会# 在混双争金失利的情况下，中国乒乓球队顶住巨大压力，拿下男女单、男女团四块金牌，圆满地完成了这次东京奥运会的征战任务。回顾本届奥运会，其中的心酸苦累只有他们自己最清楚... 央视网体育的微博视频,26,32,174,,
萌宠趣生活,8-23 14:49,关注东京奥运会的同时我们也来关注一下猫猫奥运会 萌宠趣生活的微博视频,239,181,825,,
奥林匹克运动会,8-22 19:31,"【东京奥运会奖牌时刻】埃鲁德·基普乔格🇰🇪

🏃不停奔跑，就是他所演绎的人生哲学！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",24,13,244,,
孤烟暮蝉,8-24 22:53,秃噜皮的东京奥运金牌 日本的工匠精神与躬匠精神#东京奥运会##v光计划# 孤烟暮蝉的微博视频,177,118,1059,,
中国国家田径队,8-24 17:47,东京奥运会，男子4X100米接力决赛，汤星强、谢震业、苏炳添、吴智强组成的中国队跑出37.79秒，追平全国纪录，获得第四名。赛后，四位运动员和教练做客《体坛英豪》节目时，也共同复盘了决赛的表现，对于大家关心的交接棒等问题做出回答。总结调整，未来可期，祝福中国男子接力队！#中国田径梦之队# 中国国家田径队的微博视频,35,42,384,,
加拿大大使馆官方微博,8-24 16:54,#东京残奥会今日开幕#《闪耀》是2020东京奥运会加拿大残奥代表团的官方歌曲。它由加拿大作曲家保罗·德罗萨创作，歌曲最初的灵感来自他两岁时因车祸瘫痪的表弟。“我是看着表弟的日常挣扎长大的……我创作了这首歌以表达我对他和他的生活，或任何与残疾共存的人的感受。”正如歌词所写：相信你足够强大，闪耀，像星星一般闪耀。相信加拿大残奥代表团将在奥运舞台上闪耀，也期待所有#东京残奥运会#运动员们的闪耀！ 加拿大大使馆官方微博的微博视频,19,53,125,,
圈内鱼报,8-24 08:22,"#朱雪莹的东京奥运会金牌掉一层皮#
东京奥运会的所有奖牌
都是用回收的电子垃圾制造的
08年北京奥运会的金镶玉 yyds",475,927,8633,,
中国妇女报,8-24 21:33,【她是#东京奥运会唯一中国现役军人裁判#】陆军特种作战学院上校教官祝林芳，曾5获跆拳道世界冠军。运动生涯，让她的膝关节损伤严重。为备战东京奥运会，她推迟手术、采取保守疗法，参加35次国际奥运赛事积分赛，在3600名优秀国际裁判中脱颖而出！一起看东京奥运会裁判员中，唯一的中国现役军人↓真飒！,49,39,423,,
C科技,8-24 10:08,东京奥运会冠军反映金牌掉漆，抠一下，掉的更多了,27,97,264,,
观察者网,8-25 13:30,"【#东京奥组委回应金牌掉皮#：剥落部分并非镀金而是涂膜，不影响奖牌质量】#东京奥运会金牌掉皮# 东京奥运会奖牌“掉皮”一事仍在发酵。25日，东京奥组委回复《环球时报》记者问询时称，此次剥落的部分并非镀金，而是涂在奖牌表面的一层涂膜，“不影响奖牌本身的质量”。

东京奥组委解释说，之所以在奖牌表面涂上一层薄膜，目的就是为了防止奖牌上出现细小的划痕、凹痕和污渍，起到一种保护作用。这种涂膜本身的材质决定其不会永久附着在奖牌表面。

至于是否可以给运动员更换奖牌，东京奥组委并未给出直接回答，而是称“即使把表面的涂膜剥去，也不会影响奖牌本身的质量”。

事件当事人东京奥运会女子蹦床冠军朱雪莹24日晚间在个人微博（@白桃乌龙小圆子）发布视频回应称，自己发“奖牌掉皮”微博的原因是想看一下有没有其他运动员遇到类似的情况，并不是想更换这块奖牌。

早些时候，朱雪莹在个人微博上发问“你们的奖牌…也能抠掉一层皮吗？”她说，自己没有故意抠金牌，因为发现奖牌上缺了一小块，以为脏了，用手蹭了蹭没有变化，于是抠了一下，没想到掉皮了。

在24日发布的最新视频中，朱雪莹还说，“我觉得奖牌就是一个形式，一个收藏品，更重要的是奖牌背后运动员们的付出和能够为祖国争得荣誉。”面对网友“兴许能抠出巧克力”的调侃，朱雪莹回应说：“它真的再抠不出巧克力的哦！”",35,146,1055,,
铁骨铮铮霖嘎嘎,8-24 10:00,"#朱雪莹的东京奥运会金牌掉一层皮#
也不是拉踩
08年的北京奥运会发的金牌据说从两米高处摔下来也不会坏
21年的东京奥运会这才刚结束随便扣扣金牌就已经开始掉皮了

这就是所谓工匠精神？整场奥运会哪哪都很离谱，但这至少也是奥运金牌，噗倒是体现了这次东京奥运会上的主题节约环保真是把这两点发挥到了极致要是哪天饿了，唉旁边有金牌，拆了说不定里面就是一块巧克力",10,5,20,,
中国经济网,8-24 09:40,【#朱雪莹的东京奥运会金牌掉一层皮#】昨晚，东京奥运会女子蹦床冠军朱雪莹（@白桃乌龙小圆子 ）在微博上发问：“你们的奖牌…也能抠掉一层皮吗？”朱雪莹在评论中解释说，一开始真的不是她故意抠的，她以为是金牌脏了，就拿手蹭了蹭，发现缺口没变化，就抠了一下…然后就……网友：你再抠抠兴许还能出巧克力。,21,27,56,,
大象新闻,8-24 18:01,"#东京残奥会此刻#【东京残奥会今日开幕，河南3名健儿向这些项目冲金】东京残奥会将于今晚（8月24日）开幕，在刚刚过去的东京奥运会上，河南体育健儿收获2金1银的好成绩。

大象新闻记者从@河南省残联 了解到，此次东京残奥会上，河南共派出张岩、李露、王金刚3名残疾人运动员。他们将参加田径、游泳、乒乓球3个大项10个小项的比赛。此外，还派出一名教练员和一名工作人员参加本次残奥会。

5朝元老再出征，能来就算圆梦

对于54岁的张岩来说，这是他参加的第5届残奥会。2002年，初次入选残奥乒乓球集训队的张岩，在这里遇到了自己的妻子任桂香，当时他的目标就是打败这个比自己技术好、名气大的女选手。（图源：新华社记者白雪飞摄）（大象新闻记者 谢昰炜）#东京残奥会中的河南选手# 详情点击：网页链接",125,166,174,,
萌宠百科,8-24 10:20,关注东京奥运会的同时我们也来关注一下猫猫奥运会 #萌宠百科##铲屎官的假期# 萌宠百科的微博视频,8,2,26,,
东莞身边事,8-23 11:15,"#6名东莞健儿出征东京残奥会#东京奥运会的大幕刚刚落下，#东京残奥会#的序幕又将于8月24日拉开。
在这场世界瞩目的赛事当中，广东省共有34名运动员获得参赛资格，东莞输送了6名，他们分别是陈敏仪（射箭）、黄文娟（乒乓球）、王小梅（自行车）、杨义飞（田径）、叶继雄（举重）、王圳（盲人足球），其中不乏名将和实力满满的选手，将代表中国冲击金牌。
从参赛人数上看，东莞此次输送的运动员占据了广东省运动员人数的17.6%，位居全省前列；从参赛项目数量上，我市运动员将参加射箭、田径、乒乓球、自行车、举重、盲人足球等6个大项12个小项的比赛，位居全省第一。无论是参赛人数，还是项目数量，均创下了东莞参加残奥会历史新高。 6名东莞健儿出征东京残奥会",22,18,98,,
长安数码君,8-24 22:15,"#东京残奥会开幕式#，中国代表团来了
这下日本东京奥运会的裁判可以安心的工作了，毕竟日本东京奥运会的裁判是瞎子，做残奥会的裁判，也算是专业对口了",7,32,236,,
司馬子瀟瀟,8-24 09:30,#朱雪莹的东京奥运会金牌掉一层皮#实在无法想象，这竟然是奥运会金牌。想问一问，东京奥组委会不会道歉？#潇潇语榭# 司馬子瀟瀟的微博视频,41,17,136,,
二十三娱乐,8-24 09:13,"#朱雪莹的东京奥运会金牌掉一层皮#
网友热评🈶：
1. 这质量还不如我从义乌买的
2. 你再抠抠兴许能抠出巧克力
3. 震惊，东京奥运冠军拿了假金牌……
4.别扣了，再扣就变成银牌了。
5. 这奖牌有保修期嘛，支持无理由退换嘛。
6.说明含金量最高，都掉渣啦。",241,325,569,,
果窖_1988,8-24 13:08,"把责任心刻在骨子里，把热爱融入血液里，就是马龙这样，尽管打赢了东京周期里所有世乒赛冠军，哪怕有一点会影响到队伍他什么困难准备都做好了，只有能打球一些其他比赛也可以，所以才值得信赖和尊敬

手术前后的马龙正处在生涯最低谷，他主动找男乒主教练秦志戬聊天，也做好了东京奥运会只打团体赛的准备。

“我可以不打世锦赛、奥运会这样的国际大赛，但我还可以参加一些其他比赛。”马龙现在完全看开了，小时候成为大满贯的梦想早在2016年就实现了，即便那个时间放下，也没有遗憾了。",91,29,739,,
凤凰网体育,8-24 09:46,"#朱雪莹的东京奥运会金牌掉一层皮# 东京奥运会女子蹦床金牌由中国选手朱雪莹夺得，23日她在微博晒图称金牌已经掉了一块皮。发问其他奥运冠军：“你们的奖牌…也能扣掉一层皮吗？”
网友评论：再抠抠兴许能抠出巧克力",4,21,192,,
追星十三姨,8-24 12:12,东京奥运会的金牌竟然掉漆😨,230,141,1149,,
央视新闻,8-24 17:46,【她是#东京奥运会唯一中国现役军人裁判#】陆军特种作战学院上校教官祝林芳，曾5获跆拳道世界冠军。运动生涯，让她的膝关节损伤严重。为备战东京奥运会，她推迟手术、采取保守疗法，参加35次国际奥运赛事积分赛，在3600名优秀国际裁判中脱颖而出！一起看东京奥运会裁判员中，唯一的中国现役军人↓真飒！,1117,650,0,,
环球时报,8-25 11:43,"【东京奥组委独家回应“奖牌掉皮”：剥落部分并非镀金而是涂膜，不影响奖牌质量】东京奥运会奖牌“掉皮”一事仍在发酵。25日，东京奥组委独家回复《环球时报》记者问询时称，此次剥落的部分并非镀金，而是涂在奖牌表面的一层涂膜，“不影响奖牌本身的质量”。

东京奥组委解释说，之所以在奖牌表面涂上一层薄膜，目的就是为了防止奖牌上出现细小的划痕、凹痕和污渍，起到一种保护作用。这种涂膜本身的材质决定其不会永久附着在奖牌表面。

至于是否可以给运动员更换奖牌，东京奥组委并未给出直接回答，而是称“即使把表面的涂膜剥去，也不会影响奖牌本身的质量”。

事件当事人东京奥运会女子蹦床冠军朱雪莹24日晚间在个人微博（@白桃乌龙小圆子）发布视频回应称，自己发“奖牌掉皮”微博的原因是想看一下有没有其他运动员遇到类似的情况，并不是想更换这块奖牌。

早些时候，朱雪莹在个人微博上发问“你们的奖牌…也能抠掉一层皮吗？”她说，自己没有故意抠金牌，因为发现奖牌上缺了一小块，以为脏了，用手蹭了蹭没有变化，于是抠了一下，没想到掉皮了。

在24日发布的最新视频中，朱雪莹还说，“我觉得奖牌就是一个形式，一个收藏品，更重要的是奖牌背后运动员们的付出和能够为祖国争得荣誉。”面对网友“兴许能抠出巧克力”的调侃，朱雪莹回应说：“它真的再抠不出巧克力的哦！”

在视频结尾，朱雪莹为中国残奥会代表队送上祝福，呼吁大家关注他们，为他们加油。",65,241,1639,,
芒果捞小萌主,8-25 09:33,"#东京奥运奖牌的质量有多差#
汪顺回应东京奥运会金牌掉皮
“我也扣了一下，也掉皮，不能再扣了”
cr:体坛报 芒果捞小萌主的微博视频",26,34,423,,
艾婷婷-婷婷走走,8-25 22:37,#不可辜负的美食##东京奥运会# 归来隔离第16天，好想出去翻翻手机里的视频，假装自己在外面。#东京奥运日记# 臆想篇 艾婷婷-婷婷走走的微博视频,5,15,59,,
中国新闻网,8-24 22:34,【#孙颖莎说想与航天英雄过过招# 】据中国乒协消息，在东京奥运会上斩获1金1银的国乒小将孙颖莎，在看到三位航天英雄在太空上打球的画面时后表示希望与他们过过招。“临近东京奥运会时，在电视上看到你们成功飞上太空的新闻，让我再一次感受到了祖国的强大。我告诉自己，背靠强大祖国，我也要在东京奥运会的赛场上升国旗、奏国歌，像你们一样为国争光、为民族争气。很荣幸和骄傲的是，我做到了！身处中国乒乓球队这个光荣的集体，我会继续刻苦训练、锤炼本领、顽强拼搏，力争续写国球辉煌。等着你们凯旋！” 中国新闻网的微博视频,21,36,567,,
钟sir说体操,8-23 18:29,#东京奥运会# 中国🇨🇳#体操# 女队队长，章瑾平衡木～头炮木头，顺下来真心不容易，棒棒哒🎉 长沙·湘腾商业广场 网页链接,5,60,361,,
微天下,8-14 19:10,【#东京奥组委主席称中国运动员太强大了#】在13日播出的《新闻1+1》中，白岩松连线东京奥组委主席桥本圣子。桥本圣子首先向中国代表团对于东京奥运会的支持表达了感谢，同时她表示：“我觉得中国队太强大了。虽然中国代表团没有获得奖牌榜第一名，但每一次奥运会中国代表团都在奖牌榜名列前茅。” (via @央视网体育 ）央视网体育的微博视频,8,20,101,,
界外编辑部,8-13 11:00,"那一抹红

#围观奥运会# #东京奥运会开幕式#",123,82,2148,,
果窖_1988,8-24 13:08,"把责任心刻在骨子里，把热爱融入血液里，就是马龙这样，尽管打赢了东京周期里所有世乒赛冠军，哪怕有一点会影响到队伍他什么困难准备都做好了，只有能打球一些其他比赛也可以，所以才值得信赖和尊敬

手术前后的马龙正处在生涯最低谷，他主动找男乒主教练秦志戬聊天，也做好了东京奥运会只打团体赛的准备。

“我可以不打世锦赛、奥运会这样的国际大赛，但我还可以参加一些其他比赛。”马龙现在完全看开了，小时候成为大满贯的梦想早在2016年就实现了，即便那个时间放下，也没有遗憾了。",91,29,739,,
二十三娱乐,8-24 09:13,"#朱雪莹的东京奥运会金牌掉一层皮#
网友热评🈶：
1. 这质量还不如我从义乌买的
2. 你再抠抠兴许能抠出巧克力
3. 震惊，东京奥运冠军拿了假金牌……
4.别扣了，再扣就变成银牌了。
5. 这奖牌有保修期嘛，支持无理由退换嘛。
6.说明含金量最高，都掉渣啦。",241,325,569,,
凤凰网体育,8-24 09:46,"#朱雪莹的东京奥运会金牌掉一层皮# 东京奥运会女子蹦床金牌由中国选手朱雪莹夺得，23日她在微博晒图称金牌已经掉了一块皮。发问其他奥运冠军：“你们的奖牌…也能扣掉一层皮吗？”
网友评论：再抠抠兴许能抠出巧克力",4,21,192,,
意大利那些事儿,8-13 03:15,"【英国男子4x100米接力英国选手涉嫌兴奋剂问题，中国队有望铜牌🥉 ？】意媒报道，英国队在#东京奥运会# 男子4x100米接力中夺得银牌。而国际兴奋剂检测机构 (ITA) 宣布，英国选手CJ Ujah（图1左一）相关样本被检测出S23（非类固醇代谢合成剂）阳性，涉事运动员有权要求对其另一份样本进行检测。但如果兴奋问题被证实，英国队银牌将被取消，当时以37""79获得第四名的中国队将取得铜牌，加拿大队升至银牌。
此前几日，英国媒体报道意大利新飞人Marcell Jacobs的前教练被调查的新闻，暗示其有可能卷入兴奋剂丑闻。但ITA至今未有相关确认。",13,7,34,,
中国奥委会官网,8-17 10:18,【从2铜到3金3银2铜——中国体操队如何打赢翻身仗】从1984年洛杉矶奥运会以来，中国体操队在历届奥运会上均有金牌贡献，但在2016年里约奥运会却惨遭“滑铁卢”，仅有2枚铜牌进账。作为传统优势项目，经过一个周期的潜心努力，中国体操队在东京奥运会上一举收获3金3银2铜，成绩列该项目所有参赛队之首，打了一个漂亮的翻身仗。 从2铜到3金3银2铜——中国体操队如何打赢翻身仗,30,107,692,,
封面新闻,8-19 07:00,"#早间分享#中国人就是会功夫！ |【东京奥运会】硬核群像 like this：
时间侦探Hina的微博视频",67,20,374,,
地瓜熊老六,8-13 11:42,哈哈哈哈哈哈哈东京奥运会都结束了，635万日元的门票还没有退，差不多相当于37万人民币,4,15,200,,
吗熊,9-4 23:29,"探访东京最大规模的奥运纪念品商店。商店位于台场的2020 Fan Park，入场需要在网上预约。
明天东京残奥会闭幕，这家商店也将随即停止营业。赶紧看看这里面都卖些啥。
东京奥运会#围观奥运会# 日本·东京 吗熊的微博视频",6,18,73,,
中国新闻网,8-25 12:08,【#东京奥组委回应金牌掉皮现象#：剥落部分是涂膜】#东京奥组委称金牌掉的皮是涂膜#近日，东京奥运会奖牌“掉皮”一事引发网友关注。25日，东京奥组委回复称，此次剥落的部分并非镀金，而是涂在奖牌表面的一层涂膜，“不影响奖牌本身的质量”。至于是否可以给运动员更换奖牌，东京奥组委并未给出直接回答，而是称“即使把表面的涂膜剥去，也不会影响奖牌本身的质量”。（环球时报）#东京奥组委回应奖牌掉皮#,42,137,1596,,
香港商報網,8-19 11:30,#东京奥运会# #香港#【有片｜东京奥运港队代表巴士巡游今举行 市民热烈挥手喝采】东京奥运会港队代表今日（19日）早上出席由港府与港协暨奥委会举行的巴士巡游活动，包括夺得2面银牌的泳手何诗蓓、空手道女子个人形铜牌得主刘慕裳，以及获得乒乓球女团铜牌的杜凯琹、李皓晴及苏慧音等人。运动健儿们身穿米白色港队队服，在开蓬巴士上挥动手上的区旗。在弥敦道和广东道是最佳观赏位置，大批市民到场守候，给运动员热烈挥手喝采。 香港商報網的微博视频,5,20,59,,
